name,owner,repo_name,stars,created_at,updated_at,primary_language,releases,open_issues,closed_issues,closed_issues_ratio,merged_pull_requests,age_years,days_since_update
vercel/next.js,vercel,next.js,133927,2016-10-05T23:32:51Z,2025-08-22T17:27:04Z,JavaScript,1000,2323,21064,0.9,23656,8.88,0
f/awesome-chatgpt-prompts,f,awesome-chatgpt-prompts,133046,2022-12-05T13:54:13Z,2025-08-22T16:56:33Z,JavaScript,0,0,0,0.0,171,2.71,0
n8n-io/n8n,n8n-io,n8n,131852,2019-06-22T09:24:21Z,2025-08-22T17:27:23Z,TypeScript,382,622,4557,0.88,10641,6.17,0
golang/go,golang,go,129532,2014-08-19T04:33:40Z,2025-08-22T17:03:56Z,Go,0,9175,58763,0.86,1,11.01,0
labuladong/fucking-algorithm,labuladong,fucking-algorithm,128960,2020-02-19T09:01:23Z,2025-08-22T16:34:51Z,Markdown,1,2,916,1.0,238,5.51,0
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,128955,2016-07-05T05:00:48Z,2025-08-22T17:14:23Z,TypeScript,0,41,74,0.64,481,9.13,0
Genymobile/scrcpy,Genymobile,scrcpy,126945,2017-11-21T18:00:27Z,2025-08-22T17:09:38Z,C,47,2449,3171,0.56,113,7.75,0
521xueweihan/HelloGitHub,521xueweihan,HelloGitHub,125954,2016-05-04T06:24:11Z,2025-08-22T16:39:40Z,Python,57,214,2626,0.92,16,9.3,0
Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,125045,2017-11-29T17:35:03Z,2025-08-22T16:43:32Z,JavaScript,12,0,300,1.0,827,7.73,0
facebook/react-native,facebook,react-native,123503,2015-01-09T18:10:16Z,2025-08-22T17:09:39Z,C++,410,654,26550,0.98,930,10.61,0
yt-dlp/yt-dlp,yt-dlp,yt-dlp,123375,2020-10-26T04:22:55Z,2025-08-22T17:15:04Z,Python,117,1595,8180,0.84,2906,4.82,0
microsoft/PowerToys,microsoft,PowerToys,122469,2019-05-01T17:44:02Z,2025-08-22T15:32:41Z,C#,117,7006,27565,0.8,5662,6.31,0
electron/electron,electron,electron,117991,2013-04-12T01:47:36Z,2025-08-22T17:16:16Z,C++,1000,754,20295,0.96,23271,12.36,0
kubernetes/kubernetes,kubernetes,kubernetes,117013,2014-06-06T22:56:04Z,2025-08-22T17:04:21Z,Go,755,1913,45786,0.96,62232,11.21,0
krahets/hello-algo,krahets,hello-algo,115659,2022-11-04T11:08:34Z,2025-08-22T14:28:33Z,Java,9,12,258,0.96,945,2.8,0
